Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-21T00:00+01:00;2023-03-22T00:00+01:00;21.03.2023;Totalt i retning LANGNESTUNNELEN;5916;100;24;24;0;2;99,97;5374;540;186;248;78;28;28;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-21T00:00+01:00;2023-03-22T00:00+01:00;21.03.2023;Totalt;11732;100;24;24;0;12;99,9;10693;1027;373;466;149;39;39;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-22T00:00+01:00;2023-03-23T00:00+01:00;22.03.2023;1;5959;100;24;24;0;1;99,98;5553;405;158;122;89;36;36;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-22T00:00+01:00;2023-03-23T00:00+01:00;22.03.2023;2;1558;100;24;24;0;2;99,87;1496;60;36;23;0;1;1;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-22T00:00+01:00;2023-03-23T00:00+01:00;22.03.2023;4;4321;100;24;24;0;0;100;3977;344;151;90;84;19;19;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-22T00:00+01:00;2023-03-23T00:00+01:00;22.03.2023;Totalt i retning HANSJORDNESBUKTA;5878;100;24;24;0;2;99,97;5472;404;187;113;84;20;20;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-22T00:00+01:00;2023-03-23T00:00+01:00;22.03.2023;Totalt i retning LANGNESTUNNELEN;5960;100;24;24;0;1;99,98;5554;405;158;122;89;36;36;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-22T00:00+01:00;2023-03-23T00:00+01:00;22.03.2023;Totalt;11838;100;24;24;0;3;99,97;11026;809;345;235;173;56;56;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-23T00:00+01:00;2023-03-24T00:00+01:00;23.03.2023;1;6509;98,6;24;24;0;0;100;6024;485;183;153;104;45;45;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-23T00:00+01:00;2023-03-24T00:00+01:00;23.03.2023;2;1604;98,6;24;24;0;1;99,94;1537;66;33;30;2;1;0;1
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-23T00:00+01:00;2023-03-24T00:00+01:00;23.03.2023;4;5674;98,6;24;24;0;0;100;5242;432;175;138;95;24;24;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-23T00:00+01:00;2023-03-24T00:00+01:00;23.03.2023;Totalt i retning HANSJORDNESBUKTA;7277;98,6;24;24;0;1;99,99;6779;497;208;167;97;25;24;1
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-23T00:00+01:00;2023-03-24T00:00+01:00;23.03.2023;Totalt i retning LANGNESTUNNELEN;6510;98,6;24;24;0;0;100;6024;486;183;154;104;45;45;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-23T00:00+01:00;2023-03-24T00:00+01:00;23.03.2023;Totalt;13787;98,6;24;24;0;1;99,99;12803;983;391;321;201;70;69;1
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-24T00:00+01:00;2023-03-25T00:00+01:00;24.03.2023;1;5709;100;24;24;0;0;100;5299;410;169;112;90;39;39;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-24T00:00+01:00;2023-03-25T00:00+01:00;24.03.2023;2;1662;100;24;24;0;2;99,88;1604;56;34;19;1;2;2;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-24T00:00+01:00;2023-03-25T00:00+01:00;24.03.2023;4;4597;100;24;24;0;0;100;4238;359;135;119;89;16;16;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-24T00:00+01:00;2023-03-25T00:00+01:00;24.03.2023;Totalt i retning HANSJORDNESBUKTA;6260;100;24;24;0;2;99,97;5843;415;169;138;90;18;18;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-24T00:00+01:00;2023-03-25T00:00+01:00;24.03.2023;Totalt i retning LANGNESTUNNELEN;5708;100;24;24;0;0;100;5298;410;169;112;90;39;39;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-24T00:00+01:00;2023-03-25T00:00+01:00;24.03.2023;Totalt;11968;100;24;24;0;2;99,98;11141;825;338;250;180;57;57;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-25T00:00+01:00;2023-03-26T00:00+01:00;25.03.2023;1;4681;100;24;24;0;0;100;4478;203;95;49;45;14;14;0
80998V1125915;HANSJORDNESTUNNELEN;FV862 S1D1 m2411;2023-03-25T00:00+01:00;2023-03-26T00:00+01:00;25.03.2023;2;1211;100;24;24;0;0;100;1189;22;11;9;2;0;0;0
