Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-27T00:00+01:00;2022-02-28T00:00+01:00;2022-02-27;Totalt i retning Hamna;3178;100,0;24;24;0;16;99,50;3091;71;29;20;7;15;15;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-27T00:00+01:00;2022-02-28T00:00+01:00;2022-02-27;Totalt i retning Langnestunnelen;3796;100,0;24;24;0;4;99,89;3271;521;81;27;391;22;21;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-27T00:00+01:00;2022-02-28T00:00+01:00;2022-02-27;Totalt;6974;100,0;24;24;0;20;99,71;6362;592;110;47;398;37;36;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-28T00:00+01:00;2022-03-01T00:00+01:00;2022-02-28;1;2625;100,0;24;24;0;39;98,51;2488;98;41;38;5;14;13;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-28T00:00+01:00;2022-03-01T00:00+01:00;2022-02-28;2;2899;100,0;24;24;0;142;95,10;2322;435;38;71;283;43;42;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-28T00:00+01:00;2022-03-01T00:00+01:00;2022-02-28;3;7695;100,0;24;24;0;6;99,92;7500;189;71;79;22;17;16;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-28T00:00+01:00;2022-03-01T00:00+01:00;2022-02-28;4;6979;100,0;24;24;0;363;94,80;5914;702;243;103;266;90;79;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-28T00:00+01:00;2022-03-01T00:00+01:00;2022-02-28;6;3137;100,0;24;24;0;0;100,00;2732;405;134;52;217;2;2;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-28T00:00+01:00;2022-03-01T00:00+01:00;2022-02-28;Totalt i retning Hamna;10321;100,0;24;24;0;47;99,54;9986;288;112;118;27;31;29;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-28T00:00+01:00;2022-03-01T00:00+01:00;2022-02-28;Totalt i retning Langnestunnelen;13014;100,0;24;24;0;503;96,13;10970;1541;415;225;766;135;123;12
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-02-28T00:00+01:00;2022-03-01T00:00+01:00;2022-02-28;Totalt;23335;100,0;24;24;0;550;97,64;20956;1829;527;343;793;166;152;14
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-01T00:00+01:00;2022-03-02T00:00+01:00;2022-03-01;1;2477;100,0;24;24;0;15;99,39;2374;88;32;46;3;7;7;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-01T00:00+01:00;2022-03-02T00:00+01:00;2022-03-01;2;2795;100,0;24;24;0;102;96,35;2298;395;40;60;276;19;17;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-01T00:00+01:00;2022-03-02T00:00+01:00;2022-03-01;3;7201;100,0;24;24;0;8;99,89;7032;161;60;71;15;15;15;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-01T00:00+01:00;2022-03-02T00:00+01:00;2022-03-01;4;6744;100,0;24;24;0;288;95,73;5776;680;231;99;267;83;74;9
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-01T00:00+01:00;2022-03-02T00:00+01:00;2022-03-01;6;2962;100,0;24;24;0;0;100,00;2594;368;95;51;219;3;3;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-01T00:00+01:00;2022-03-02T00:00+01:00;2022-03-01;Totalt i retning Hamna;9679;100,0;24;24;0;26;99,73;9406;247;91;116;18;22;22;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-01T00:00+01:00;2022-03-02T00:00+01:00;2022-03-01;Totalt i retning Langnestunnelen;12500;100,0;24;24;0;387;96,90;10668;1445;367;211;762;105;94;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-01T00:00+01:00;2022-03-02T00:00+01:00;2022-03-01;Totalt;22179;100,0;24;24;0;413;98,14;20074;1692;458;327;780;127;116;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-02T00:00+01:00;2022-03-03T00:00+01:00;2022-03-02;1;2612;100,0;24;24;0;25;99,04;2410;177;58;104;8;7;7;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-02T00:00+01:00;2022-03-03T00:00+01:00;2022-03-02;2;2889;100,0;24;24;0;120;95,85;2325;444;45;53;308;38;34;4
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-02T00:00+01:00;2022-03-03T00:00+01:00;2022-03-02;3;7346;100,0;24;24;0;5;99,93;7160;181;75;75;14;17;16;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-02T00:00+01:00;2022-03-03T00:00+01:00;2022-03-02;4;6706;100,0;24;24;0;332;95,05;5723;651;216;107;266;62;53;9
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-02T00:00+01:00;2022-03-03T00:00+01:00;2022-03-02;6;3081;100,0;24;24;0;0;100,00;2603;478;110;141;223;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-02T00:00+01:00;2022-03-03T00:00+01:00;2022-03-02;Totalt i retning Hamna;9960;100,0;24;24;0;31;99,69;9570;359;133;180;22;24;23;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-02T00:00+01:00;2022-03-03T00:00+01:00;2022-03-02;Totalt i retning Langnestunnelen;12674;100,0;24;24;0;451;96,44;10651;1572;371;300;797;104;91;13
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-02T00:00+01:00;2022-03-03T00:00+01:00;2022-03-02;Totalt;22634;100,0;24;24;0;482;97,87;20221;1931;504;480;819;128;114;14
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-03T00:00+01:00;2022-03-04T00:00+01:00;2022-03-03;1;2434;100,0;24;24;0;30;98,77;2305;99;40;41;12;6;6;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2022-03-03T00:00+01:00;2022-03-04T00:00+01:00;2022-03-03;2;2989;100,0;24;24;0;149;95,02;2403;437;44;69;292;32;30;2
