Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;1385;1173;1597;100,0;31;31;0;12;99,1;1;1011;362;59;35;205;62;59;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;1496;1261;1731;100,0;31;31;0;8;99,5;2;1120;368;31;56;235;46;44;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;1497;1262;1732;100,0;31;31;0;9;99,4;Totalt i retning UNN;1120;368;31;56;235;46;44;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;1384;1172;1596;100,0;31;31;0;12;99,1;Totalt i retning Planetariet;1011;361;59;35;205;62;59;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;2881;2434;3328;100,0;31;31;0;21;99,3;Totalt;2131;729;90;91;440;107;103;4
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;1485;1260;1710;100,0;28;28;0;12;99,2;1;1101;372;66;35;218;52;51;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;1583;1335;1831;100,0;28;28;0;11;99,3;2;1196;376;35;47;245;50;48;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;1584;1336;1832;100,0;28;28;0;11;99,3;Totalt i retning UNN;1196;377;35;47;245;50;48;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;1484;1259;1709;100,0;28;28;0;12;99,2;Totalt i retning Planetariet;1101;371;66;35;218;52;51;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;3068;2596;3540;100,0;28;28;0;23;99,3;Totalt;2297;748;100;82;464;102;99;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;1454;1243;1665;100,0;31;31;0;9;99,4;1;1071;374;52;53;228;42;41;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;1560;1331;1789;100,0;31;31;0;8;99,5;2;1153;399;38;70;245;47;45;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;1561;1332;1790;100,0;31;31;0;9;99,4;Totalt i retning UNN;1153;399;38;70;245;47;45;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;1454;1243;1665;100,0;31;31;0;9;99,4;Totalt i retning Planetariet;1071;374;51;53;228;42;41;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;3015;2575;3455;100,0;31;31;0;18;99,4;Totalt;2224;773;89;122;473;89;86;3
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;1193;944;1442;100,0;30;30;0;10;99,2;1;877;306;48;20;193;45;44;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;1259;993;1525;100,0;30;30;0;12;99,0;2;935;313;22;44;215;32;30;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;1259;993;1525;100,0;30;30;0;12;99,0;Totalt i retning UNN;935;313;22;44;215;32;30;2
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;1193;944;1442;100,0;30;30;0;10;99,2;Totalt i retning Planetariet;877;306;48;20;193;45;44;1
01057V1109432;Hansine Hansens veg;KV12650 S2D1 m20;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;2453;1938;2968;100,0;30;30;0;22;99,1;Totalt;1811;619;70;65;408;77;74;3
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;3076;2757;3395;100,0;31;31;0;1;100,0;1;2823;252;82;92;67;11;10;1
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;3306;2960;3652;100,0;31;31;0;2;99,9;2;3033;271;86;104;68;13;11;2
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;3305;2959;3651;100,0;31;31;0;1;100,0;Totalt i retning SENTRUM;3032;272;86;105;68;13;11;2
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;3076;2757;3395;100,0;31;31;0;0;100,0;Totalt i retning BREIVIKA;2824;252;82;92;67;11;10;1
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;6382;5718;7046;100,0;31;31;0;3;100,0;Totalt;5855;524;168;197;134;25;22;3
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;3188;2860;3516;100,0;28;28;0;1;100,0;1;2948;239;83;77;68;11;11;0
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;3515;3122;3908;100,0;28;28;0;0;100,0;2;3237;277;93;98;72;14;12;2
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;3515;3122;3908;100,0;28;28;0;1;100,0;Totalt i retning SENTRUM;3237;278;93;98;72;14;12;2
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;3188;2860;3516;100,0;28;28;0;1;100,0;Totalt i retning BREIVIKA;2949;238;82;77;68;11;11;0
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;6703;5989;7417;100,0;28;28;0;2;100,0;Totalt;6185;516;176;175;140;25;23;2
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;3196;2879;3513;100,0;31;31;0;1;100,0;1;2942;253;84;79;79;12;11;1
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;3459;3114;3804;100,0;31;31;0;0;100,0;2;3176;283;97;93;80;13;11;2
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;3459;3114;3804;100,0;31;31;0;1;100,0;Totalt i retning SENTRUM;3176;283;97;93;80;13;11;2
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;3196;2879;3513;100,0;31;31;0;0;100,0;Totalt i retning BREIVIKA;2943;253;84;79;79;12;11;1
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;6655;5993;7317;100,0;31;31;0;1;100,0;Totalt;6119;536;181;172;159;25;22;3
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;2495;2123;2867;100,0;30;30;0;0;100,0;1;2324;170;62;57;44;7;7;0
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;2696;2282;3110;100,0;30;30;0;0;100,0;2;2511;185;67;70;42;7;6;1
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;2696;2282;3110;100,0;30;30;0;1;100,0;Totalt i retning SENTRUM;2510;185;67;70;42;6;5;1
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;2495;2123;2867;100,0;30;30;0;0;100,0;Totalt i retning BREIVIKA;2324;170;62;57;44;7;7;0
05293V1125916;BREIVIKTUNNELEN;FV862 S1D1 m2604;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;5191;4406;5976;100,0;30;30;0;1;100,0;Totalt;4835;355;129;127;86;14;13;1
05899V1109722;Strandvegen;KV40500 S1D1 m156;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;0;0;0;100,0;31;31;0;0;-;1;0;0;0;0;0;0;0;0
